model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
mamba2-780m,state-spaces/mamba2-780m,139264,1,1488.04,13777.07,0,22532.0,15265.11
mamba2-780m,state-spaces/mamba2-780m,147456,1,1488.04,14588.85,0,16204.0,16076.89
mamba2-780m,state-spaces/mamba2-780m,155648,1,1488.04,15398.85,0,16996.0,16886.89
mamba2-780m,state-spaces/mamba2-780m,163840,1,1488.04,16208.85,0,17806.0,17696.89
mamba2-780m,state-spaces/mamba2-780m,180224,1,1488.04,17827.35,0,19426.0,19315.39
mamba2-780m,state-spaces/mamba2-780m,200000,1,1488.04,19782.85,0,21380.0,21270.89
mamba2-780m,state-spaces/mamba2-780m,220000,1,1488.04,21759.39,0,23358.0,23247.42
qwen25-instruct-int4,Qwen/Qwen2.5-0.5B-Instruct-GPTQ-Int4,1024,1,259.74,486.09,450.21,1262.0,1196.04
qwen25-instruct-int4,Qwen/Qwen2.5-0.5B-Instruct-GPTQ-Int4,8192,1,259.74,2575.7,534.21,3702.0,3369.65
qwen25-instruct-int4,Qwen/Qwen2.5-0.5B-Instruct-GPTQ-Int4,57344,1,259.74,19094.68,447.81
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,256,1,994.51,271.2,-230.26,1050.0,1035.45
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,512,1,994.51,73.46,0.0,1100.0,1067.97
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,1024,1,994.51,139.04,0.0,1182.0,1133.56
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,2048,1,994.51,268.58,0.0,1342.0,1263.09
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,4096,1,994.51,528.73,0.0,1690.0,1523.24
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,8192,1,994.51,1049.04,0.0,2302.0,2043.56
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,16384,1,994.51,2089.67,0.0,3594.0,3084.18
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,24576,1,994.51,3130.29,0.0,4874.0,4124.81
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,32768,1,994.51,4172.92,0.0,6154.0,5167.43
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,40960,1,994.51,5213.04,0.0,7434.0,6207.56
